Instance	Evaluations	Cycle(0.5)	Cycle(0.4)	Cycle(0.3)	Cycle(0.2)	Cycle(0.1)
36	100	6242849	6270548	6244446	6243064	6247961
36	1000	6163353	6170413	6170170	6174877	6151869
36	10000	6072464	6044982	6057979	6054929	6060079
36	100000	6009884	5975951	5994717	5973793	5982370
36	1000000	5971883	5962608	5941871	5966522	5948812
37	100	6248425	6277275	6262127	6248841	6252066
37	1000	6173927	6184017	6150462	6145605	6135340
37	10000	6068487	6063994	6061791	6049684	6044209
37	100000	6010857	6008716	5969635	5996195	5971941
37	1000000	5980558	5962267	5951697	5963591	5952897
38	100	6316509	6343140	6312987	6300954	6312938
38	1000	6225352	6231702	6220401	6219772	6224321
38	10000	6132399	6122864	6135166	6111501	6111924
38	100000	6070930	6054065	6069123	6063559	6037334
38	1000000	6025071	6021249	6018799	6016783	6040023
39	100	6354833	6320581	6334631	6337527	6316161
39	1000	6223529	6230237	6245846	6218956	6211873
39	10000	6142056	6137186	6143885	6130052	6106586
39	100000	6065168	6070956	6058252	6048952	6043645
39	1000000	6020841	6025764	5989054	6041340	6005674
40	100	6261384	6241467	6269733	6289506	6259189
40	1000	6157726	6150474	6190677	6175647	6170014
40	10000	6069643	6074256	6065164	6059878	6062270
40	100000	6009838	6002894	5983757	6009116	5992658
40	1000000	5972782	5961122	5968944	5959391	5962191
41	100	6344655	6326216	6330293	6341033	6340546
41	1000	6231173	6227091	6227357	6236546	6235611
41	10000	6124185	6133170	6154162	6131895	6112459
41	100000	6047884	6055734	6055037	6069395	6039520
41	1000000	6026909	6028687	6012282	6011862	6021446
42	100	6370971	6365550	6374545	6376535	6345950
42	1000	6294409	6297533	6283078	6286976	6268557
42	10000	6186221	6182531	6170268	6170216	6167399
42	100000	6124159	6112620	6108245	6101395	6097416
42	1000000	6087653	6079432	6074657	6062888	6082483
43	100	6350363	6310122	6296749	6304783	6316537
43	1000	6249203	6275672	6217907	6242993	6226053
43	10000	6165397	6142063	6138828	6132822	6151335
43	100000	6073506	6075250	6076770	6053556	6069991
43	1000000	6035408	6045352	6038012	6032390	6021999
44	100	6292124	6256931	6280637	6245376	6268438
44	1000	6208528	6184775	6171353	6171296	6187892
44	10000	6082553	6087027	6081508	6053448	6064574
44	100000	5986911	6016308	6003451	5995997	6007504
44	1000000	5993335	5971651	5954607	5950670	5955315
45	100	6346397	6338678	6358548	6342009	6344073
45	1000	6259059	6255889	6261630	6255549	6235488
45	10000	6138660	6161162	6154916	6140110	6135041
45	100000	6099876	6082381	6103052	6097553	6069847
45	1000000	6061743	6055688	6040944	6055398	6024677
46	100	6289694	6294683	6305247	6286672	6291192
46	1000	6191306	6179111	6212997	6182249	6176953
46	10000	6122108	6102632	6076738	6086584	6094257
46	100000	6025548	6013950	6024011	6018252	6024041
46	1000000	6001433	5990680	5984204	5980136	5992710
47	100	6431518	6428426	6414059	6382173	6427941
47	1000	6338112	6327331	6336718	6309655	6321697
47	10000	6231989	6214464	6230161	6237110	6215604
47	100000	6178747	6147387	6144064	6141772	6152497
47	1000000	6115789	6123647	6108598	6110366	6106145
48	100	6346577	6340039	6342938	6319270	6342412
48	1000	6251380	6252511	6240993	6234618	6216356
48	10000	6146605	6146680	6132400	6114401	6141957
48	100000	6065204	6070522	6051679	6071524	6063565
48	1000000	6048565	6035505	6030199	6025276	6031414
49	100	6350707	6387480	6362606	6404593	6376629
49	1000	6267662	6297136	6267227	6255410	6263148
49	10000	6157003	6163355	6154736	6137235	6165736
49	100000	6089666	6108625	6104105	6082018	6077439
49	1000000	6065601	6053246	6039729	6048658	6059026
50	100	6337385	6289600	6258493	6279129	6269538
50	1000	6190181	6192897	6168136	6187778	6195342
50	10000	6073391	6079215	6071054	6074580	6069593
50	100000	6018077	6020971	6024282	5998759	6025428
50	1000000	5985066	5976457	5965043	5991703	5978102
51	100	6319437	6301779	6301974	6319589	6290197
51	1000	6221268	6206205	6205242	6196745	6201351
51	10000	6085976	6102114	6101764	6089877	6064924
51	100000	6044848	6020740	6018407	6041015	6019768
51	1000000	5988458	5988264	5988355	6000716	5981627
52	100	6381592	6362212	6365595	6359679	6347529
52	1000	6270836	6251646	6249023	6264792	6241930
52	10000	6162157	6175897	6139955	6144191	6153267
52	100000	6098050	6092288	6094227	6081863	6099679
52	1000000	6036647	6065487	6053558	6041532	6040979
53	100	6342268	6351691	6335559	6348911	6347396
53	1000	6267863	6257114	6250111	6262766	6271848
53	10000	6148991	6142219	6153858	6144926	6139009
53	100000	6093086	6094080	6088203	6077062	6061988
53	1000000	6051777	6023288	6029680	6050950	6054398
54	100	6384010	6366821	6357916	6378856	6364574
54	1000	6285447	6255744	6275649	6262879	6254674
54	10000	6159226	6162578	6151579	6159896	6141354
54	100000	6095619	6109558	6081695	6077778	6065826
54	1000000	6062729	6057329	6061542	6063497	6042963
55	100	6320632	6329990	6322812	6314275	6303865
55	1000	6222084	6230637	6205942	6211666	6179362
55	10000	6117752	6123397	6093719	6094011	6089711
55	100000	6033354	6047504	6034789	6029253	6042940
55	1000000	6009446	6000822	6007537	6014328	5996370
56	100	6403210	6419323	6435629	6401821	6422838
56	1000	6311286	6352179	6337731	6306956	6325524
56	10000	6225014	6215010	6234452	6225495	6231651
56	100000	6166956	6154080	6141939	6166132	6126620
56	1000000	6113423	6112224	6115955	6100456	6111605
57	100	6284314	6311014	6302148	6287227	6306291
57	1000	6192839	6204668	6201622	6202968	6206095
57	10000	6117919	6126345	6088323	6084149	6095755
57	100000	6040756	6035758	6027215	6038491	6026495
57	1000000	6002051	6002747	6002426	5975870	5991873
58	100	6266522	6271484	6260894	6278678	6249239
58	1000	6168762	6161952	6208423	6157439	6166249
58	10000	6075414	6083975	6070171	6057713	6047294
58	100000	6019624	5995585	5993915	5993770	6008733
58	1000000	5982854	5975185	5966960	5965275	5959443
59	100	6319131	6332529	6337398	6332939	6305011
59	1000	6222661	6240296	6226334	6211768	6215138
59	10000	6127158	6132287	6120098	6133426	6128296
59	100000	6066024	6058419	6060900	6078117	6069508
59	1000000	6020166	6031732	6011649	6022632	6002865
60	100	6226858	6211608	6205578	6216485	6198863
60	1000	6139895	6126540	6118195	6135603	6127701
