Instance	Evaluations	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
80	100000	6058180	6065300	6048740	6063922	6048283	6018160	6008730	6184922	6184212	6168719
80	1000000	6026283	6030454	6026847	6006057	6000749	5989737	5984477	6158966	6131153	6137732
81	100	6318248	6326007	6308326	6331579	6336814	6312717	6300752	6365610	6358353	6324914
81	1000	6233320	6243890	6225717	6236311	6220966	6230352	6197517	6343152	6333203	6286607
81	10000	6177048	6165124	6155637	6151022	6133051	6107911	6106071	6268548	6255973	6245784
81	100000	6096999	6097064	6076552	6083542	6061060	6072029	6024116	6211813	6186100	6198449
81	1000000	6052757	6049622	6040570	6034560	6018995	6024646	6013691	6204291	6160662	6134877
82	100	6314653	6256377	6291859	6304144	6276614	6283170	6297708	6318026	6322529	6329653
82	1000	6227574	6216490	6211143	6193890	6207311	6171202	6205254	6265339	6287039	6292714
82	10000	6167489	6111590	6121152	6117446	6102533	6102843	6082884	6260195	6218514	6225661
82	100000	6086885	6066954	6048660	6059372	6038584	6002688	6037069	6179361	6181515	6161796
82	1000000	6026290	6034810	6006286	6000237	5990074	5991760	5948353	6153434	6140138	6129921
83	100	6314897	6321973	6308638	6312016	6314447	6297725	6288427	6350256	6330343	6341011
83	1000	6244186	6234036	6225601	6212251	6215551	6192089	6174237	6308709	6296839	6283932
83	10000	6139353	6152650	6149669	6117197	6114037	6091480	6106353	6233954	6225782	6236821
83	100000	6079794	6082765	6076261	6050536	6046392	6040699	6029141	6214514	6194421	6165661
83	1000000	6047891	6048340	6024348	6019698	6001005	6009294	5991336	6163418	6140810	6145627
84	100	6335678	6321075	6359174	6315094	6307676	6340266	6320122	6388266	6391658	6368410
84	1000	6246370	6239274	6255189	6271189	6229154	6251242	6228495	6351090	6319991	6322660
84	10000	6181969	6179110	6186617	6156413	6141669	6159133	6105224	6284873	6263845	6283087
84	100000	6113186	6114963	6109678	6096976	6077467	6083813	6043032	6210359	6216168	6221475
84	1000000	6068237	6063374	6071062	6060629	6053139	6044745	6027300	6205711	6168818	6162776
85	100	6331670	6357310	6349368	6322378	6339920	6354711	6341635	6395460	6373386	6397813
85	1000	6277465	6272908	6291783	6273514	6243692	6256781	6250552	6350761	6339047	6347607
85	10000	6211765	6181759	6182148	6167972	6155809	6157534	6130422	6292649	6284016	6284896
85	100000	6117125	6151824	6126205	6117043	6097320	6072063	6071528	6263677	6216741	6230829
85	1000000	6089934	6075074	6072846	6060109	6035638	6058846	6036381	6194300	6190695	6185166
86	100	6325029	6321619	6304646	6316537	6283872	6311707	6293787	6355746	6330991	6338392
86	1000	6255770	6262978	6220326	6235618	6218798	6216346	6221333	6299350	6319727	6290847
86	10000	6152027	6150913	6158739	6134316	6144750	6095869	6085098	6249306	6203986	6217802
86	100000	6075294	6084762	6078386	6070793	6050057	6045292	6018873	6224615	6180471	6193080
86	1000000	6046836	6026787	6032512	6045854	6022245	6018582	5999953	6164792	6137040	6125157
87	100	6421712	6431451	6437978	6393750	6417437	6391875	6409548	6454044	6451983	6433574
87	1000	6343588	6326755	6324505	6335732	6334150	6329046	6316984	6422463	6394278	6406476
87	10000	6248283	6261184	6244544	6241305	6226715	6220072	6201149	6348825	6354440	6342219
87	100000	6200016	6188913	6182235	6170321	6157760	6135100	6143098	6289352	6285930	6297998
87	1000000	6150538	6136315	6127972	6104691	6120507	6105107	6107305	6273935	6253730	6246733
88	100	6349027	6313754	6334106	6364184	6355818	6309146	6344258	6384350	6381743	6363642
88	1000	6277232	6235162	6254662	6273727	6269129	6234542	6221151	6351830	6335635	6315515
88	10000	6199076	6165246	6176484	6158224	6170435	6137055	6141465	6294856	6249875	6277809
88	100000	6128059	6100291	6096962	6107496	6081345	6067828	6067966	6221560	6191899	6208485
88	1000000	6045824	6065655	6062378	6063217	6047965	6027039	6005920	6187031	6184104	6168341
89	100	6295623	6267121	6295239	6259702	6265761	6279215	6295968	6320168	6311532	6317783
89	1000	6215743	6205526	6225819	6223683	6176283	6203154	6183280	6290001	6251137	6285759
89	10000	6126751	6114298	6118609	6110032	6099143	6085771	6064730	6249654	6231211	6196095
89	100000	6073158	6044242	6035901	6043340	6010633	6008014	6004481	6168400	6146492	6156396
89	1000000	6009647	6021423	5991284	6011418	5991846	5981062	5959324	6149538	6130524	6129054
90	100	6360261	6329773	6328284	6329884	6367161	6332035	6356595	6383124	6367136	6377010
90	1000	6286339	6269655	6265524	6266375	6231747	6241681	6224547	6328356	6311924	6339051
90	10000	6203061	6179910	6173140	6160474	6152075	6141092	6137345	6288419	6283143	6286770
90	100000	6116983	6125476	6116846	6101831	6091873	6085736	6058070	6244409	6230020	6219023
90	1000000	6082323	6040152	6062577	6067740	6045376	6037907	6033813	6189734	6183366	6179176
91	100	6244183	6263957	6200087	6236644	6207192	6204589	6248373	6265489	6256741	6257469
91	1000	6151246	6150796	6162233	6138202	6159483	6140774	6108611	6230423	6235053	6224466
91	10000	6078665	6064158	6060025	6082723	6052225	6030623	6022948	6206376	6169383	6164628
91	100000	6012202	6006069	5993640	5989438	5974396	5965468	5955077	6135787	6119068	6099183
91	1000000	5962708	5959001	5948014	5957939	5942273	5937834	5917215	6105246	6078639	6051916
92	100	6414572	6424375	6412874	6414582	6409869	6413962	6412070	6457428	6452258	6440770
92	1000	6362108	6351238	6324015	6347362	6321853	6325346	6322961	6424786	6414787	6400801
92	10000	6268197	6248575	6232181	6232314	6210170	6214369	6200667	6354971	6352346	6348737
92	100000	6186948	6183635	6203860	6152505	6163391	6134207	6115587	6309191	6297109	6287122
92	1000000	6150790	6118019	6126650	6119260	6113269	6132625	6105748	6274251	6255886	6249060
93	100	6368558	6350848	6355156	6349714	6379693	6340877	6338504	6371416	6395909	6365050
93	1000	6276940	6280357	6286637	6257629	6268828	6253464	6273796	6375576	6334578	6338571
93	10000	6190635	6183123	6180938	6182558	6179528	6152371	6122951	6307121	6284983	6301323
93	100000	6134053	6116798	6136756	6104457	6108865	6082013	6073278	6226430	6222644	6213326
93	1000000	6072707	6080316	6040731	6067851	6059767	6048373	6045375	6195927	6183519	6160981
94	100	6345765	6350758	6329278	6336004	6326511	6324015	6330654	6355218	6381091	6382056
94	1000	6257259	6254710	6253696	6254238	6231438	6263270	6231071	6328080	6334248	6325858
94	10000	6217134	6174961	6181910	6179027	6143348	6136109	6137950	6300350	6290856	6276253
94	100000	6140996	6118348	6125703	6114748	6085550	6063267	6060622	6222547	6225723	6211704
94	1000000	6064958	6072667	6048814	6065179	6035538	6054909	6029512	6213783	6178462	6172423
95	100	6396997	6381428	6403746	6379863	6388675	6419667	6383413	6430647	6421053	6427420
95	1000	6309657	6314459	6327148	6318720	6312612	6280735	6292832	6399903	6380489	6373096
95	10000	6212981	6231652	6231103	6230473	6189450	6195222	6177938	6339218	6325530	6313105
95	100000	6166127	6174804	6137270	6149105	6142193	6131815	6098327	6309662	6249646	6260896
95	1000000	6128425	6111565	6111727	6117868	6102002	6092540	6074112	6263469	6236103	6219264
96	100	6299277	6296450	6320730	6283325	6298310	6283321	6279621	6343196	6331234	6313532
96	1000	6242795	6223458	6221000	6205755	6189983	6199802	6187772	6294727	6296371	6278480
96	10000	6124827	6144219	6123710	6105426	6095720	6104956	6089340	6246194	6256137	6212102
96	100000	6067822	6053559	6061260	6033424	6050800	6036613	6007631	6158125	6143332	6170857
96	1000000	6026305	6016338	6023474	6020822	6009766	5999857	5968498	6157433	6121174	6123058
97	100	6388326	6374092	6418546	6386363	6374010	6367801	6365482	6415515	6412507	6413306
97	1000	6321641	6302015	6314239	6298928	6307508	6259810	6272601	6401579	6375276	6368547
97	10000	6221630	6226853	6229488	6202808	6191228	6186518	6178879	6319149	6328164	6315953
97	100000	6138137	6171408	6143828	6126252	6111519	6116446	6100367	6293102	6244428	6279467
97	1000000	6117411	6105533	6103090	6095446	6075972	6045491	6052620	6254729	6223536	6227536
98	100	6445367	6433926	6447063	6427234	6413545	6436618	6432875	6461830	6474053	6455069
98	1000	6347760	6344624	6388903	6340229	6350777	6351919	6319505	6453369	6443663	6419095
98	10000	6271088	6275400	6259405	6264083	6239120	6236891	6218733	6370629	6350883	6363583
98	100000	6206451	6207644	6207095	6182061	6186638	6174357	6159162	6336566	6309097	6300136
98	1000000	6163200	6158077	6159262	6129908	6150553	6131783	6129074	6284152	6270262	6258668
99	100	6314718	6330557	6288202	6297939	6299579	6275398	6313168	6321447	6332688	6337026
99	1000	6232810	6228851	6231839	6216062	6212088	6209913	6175839	6297334	6291724	6307099
99	10000	6147657	6136148	6145611	6123202	6109793	6087735	6084164	6212896	6217533	6242973
99	100000	6065799	6081077	6074618	6061732	6047008	6051575	6024901	6205473	6181984	6159601
99	1000000	6040944	6033695	6033932	6022736	6003130	5981938	5973746	6169506	6126141	6121648
100	100	6273299	6303957	6271944	6247916	6271039	6281197	6246877	6295199	6323768	6294121
100	1000	6205646	6197033	6170164	6176306	6185394	6171168	6169710	6254145	6280312	6273128
100	10000	6115997	6098062	6089747	6079519	6083217	6076698	6053600	6199294	6188223	6205823
100	100000	6046732	6037200	6042545	6019937	6004020	6001674	5995300	6161843	6135785	6157130
100	1000000	6001387	5981732	5987403	5981040	5972919	5968427	5954725	6134719	6088578	6097641
