Instance	Evaluations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
27	100000	1492149	1475842	1472529	1480484	1476474	1480186	1474500	1516226	1523050	1513711
27	1000000	1466318	1459940	1462086	1471612	1464395	1463023	1459661	1515946	1503675	1505550
27	10000000	1458610	1458735	1459689	1454441	1457064	1456860	1455076	1502721	1499190	1492978
28	100	1577081	1560918	1552247	1569601	1572104	1580975	1565023	1592710	1582915	1579425
28	1000	1550312	1544555	1530965	1552837	1537822	1539021	1537456	1558391	1561762	1547588
28	10000	1510706	1507258	1502207	1512040	1507276	1504439	1501164	1551080	1540189	1537802
28	100000	1497214	1481009	1486440	1497142	1489188	1488713	1485173	1534126	1530655	1525500
28	1000000	1480205	1475130	1467105	1479033	1475454	1479659	1479194	1527064	1515787	1509285
28	10000000	1468351	1468497	1463204	1468799	1469514	1463832	1460113	1511216	1508502	1498233
29	100	1559558	1562907	1560808	1552171	1550973	1561408	1568824	1580730	1559634	1562246
29	1000	1526589	1522427	1525505	1536115	1525448	1511102	1515535	1563768	1544879	1551196
29	10000	1504739	1491874	1498298	1489834	1496964	1485634	1489625	1526002	1524784	1529183
29	100000	1485977	1470764	1465005	1479939	1470006	1471163	1465533	1517561	1518367	1511710
29	1000000	1466555	1464530	1455980	1469162	1462431	1461440	1459440	1508446	1498906	1498783
29	10000000	1456087	1452769	1454602	1450319	1452216	1456002	1452246	1495583	1488422	1491327
30	100	1585108	1589448	1592302	1584786	1577379	1580974	1580749	1603874	1597289	1606821
30	1000	1565997	1555806	1543603	1559672	1557953	1551052	1540006	1589948	1590214	1588381
30	10000	1540651	1518022	1520622	1538948	1522981	1523247	1520591	1560733	1556572	1556071
30	100000	1513715	1502181	1503347	1507995	1499572	1506806	1506113	1552717	1545639	1543246
30	1000000	1501710	1496913	1496414	1493863	1496718	1491344	1489432	1543929	1532586	1534293
30	10000000	1488571	1486331	1485013	1488791	1487979	1487232	1480441	1530802	1526992	1520637
31	100	1549662	1555048	1548362	1549053	1545286	1545990	1545831	1556312	1557347	1568751
31	1000	1499134	1517043	1514651	1511531	1520709	1529610	1509040	1558580	1539320	1549749
31	10000	1482646	1481620	1484946	1493628	1487564	1496855	1488609	1542092	1526170	1524014
31	100000	1478826	1462696	1468733	1477663	1472899	1476024	1470809	1513757	1494614	1502201
31	1000000	1457406	1451760	1459597	1460426	1459190	1457060	1458935	1501659	1496169	1494968
31	10000000	1456993	1449181	1442789	1448473	1448484	1445739	1439192	1492390	1486847	1482335
32	100	1541875	1530357	1547946	1543570	1539592	1551401	1528984	1549540	1552752	1553555
32	1000	1517753	1513080	1505127	1509288	1512022	1503553	1497213	1536202	1531670	1535021
32	10000	1489317	1480211	1479973	1489356	1490508	1470786	1472216	1512042	1514461	1523553
32	100000	1457161	1454185	1451552	1469254	1463159	1457946	1454673	1512366	1502534	1488272
32	1000000	1453585	1445304	1442011	1452107	1449886	1443196	1444296	1493105	1492388	1477667
32	10000000	1443103	1441494	1437468	1437524	1439812	1439568	1439004	1485678	1485042	1466227
33	100	1534269	1536150	1529565	1533632	1534888	1534783	1538338	1543771	1547884	1543877
33	1000	1499144	1488619	1488982	1498236	1505285	1492915	1497461	1523982	1528209	1518774
33	10000	1465888	1473980	1457835	1471367	1462028	1464669	1462655	1507540	1508799	1496389
33	100000	1445249	1447951	1446779	1458522	1449010	1450226	1440145	1492593	1487265	1487554
33	1000000	1439120	1439044	1433400	1442525	1440212	1440467	1438892	1477457	1478649	1472786
33	10000000	1428938	1425707	1427362	1431195	1434312	1430183	1427569	1472034	1469555	1462748
34	100	1560157	1540825	1562379	1565258	1560574	1561848	1548768	1566589	1569808	1574843
34	1000	1534336	1533439	1521403	1542062	1533451	1529393	1512274	1560927	1565098	1555233
34	10000	1499755	1508030	1502506	1505471	1506759	1504579	1484312	1545276	1541199	1537314
34	100000	1492191	1484920	1484796	1491325	1481065	1475475	1483163	1531192	1516430	1516370
34	1000000	1473526	1471482	1462134	1478815	1476311	1470278	1472216	1514915	1512251	1507360
34	10000000	1464731	1461123	1462610	1465085	1465722	1461702	1459753	1512406	1503427	1491347
35	100	1579907	1568445	1563491	1565869	1573440	1574543	1573238	1593806	1585985	1581324
35	1000	1550099	1549681	1546055	1539864	1539045	1540597	1531474	1563672	1553296	1567855
35	10000	1523953	1505477	1503207	1517631	1518515	1507652	1503740	1553796	1541961	1542126
35	100000	1492449	1488037	1486326	1493984	1491813	1483631	1488741	1540955	1533675	1518193
35	1000000	1483342	1471890	1477538	1481218	1483614	1473812	1477449	1523224	1520696	1524064
35	10000000	1474007	1469597	1471112	1476120	1470409	1468577	1466814	1515765	1508180	1501588
36	100	1528481	1520069	1522446	1537055	1526239	1531460	1517389	1552588	1534818	1548079
36	1000	1496220	1492184	1492790	1492933	1491140	1490658	1488801	1509905	1530900	1520634
36	10000	1465308	1458383	1447168	1473652	1466957	1454038	1457177	1511818	1497590	1498282
36	100000	1457159	1449691	1440951	1447385	1448149	1438292	1434787	1487444	1483679	1477992
36	1000000	1438101	1431295	1435814	1435440	1438618	1435306	1432677	1465197	1475883	1470953
36	10000000	1429416	1421213	1425557	1424528	1426753	1425302	1421210	1460501	1464282	1464181
37	100	1480060	1486088	1470924	1472748	1460270	1482704	1470843	1488272	1482209	1486147
37	1000	1449588	1438371	1427560	1447072	1437029	1438178	1431093	1462408	1454744	1456676
37	10000	1421980	1413764	1406748	1408006	1412227	1403182	1411375	1446458	1452225	1450087
37	100000	1396113	1390127	1387780	1392689	1393824	1380895	1381723	1441201	1427123	1428232
37	1000000	1385492	1380183	1378811	1380791	1385425	1382329	1377196	1423404	1408173	1420849
37	10000000	1373880	1369732	1368663	1375102	1370537	1375238	1368641	1415348	1407718	1406657
38	100	1532678	1524339	1517992	1525409	1535131	1515775	1519261	1535209	1545880	1534326
38	1000	1501553	1486847	1490113	1488811	1495169	1489678	1486930	1519669	1519654	1527384
38	10000	1472201	1461617	1454372	1462174	1465371	1466447	1451757	1503853	1501579	1500477
38	100000	1445302	1437066	1438656	1448525	1445524	1452459	1439368	1495850	1478092	1488279
38	1000000	1439771	1432679	1427046	1440349	1438331	1432100	1432623	1476518	1470766	1468926
38	10000000	1424126	1424081	1423007	1421861	1421930	1421724	1422056	1471528	1462102	1463799
39	100	1536060	1547929	1530385	1523309	1533911	1522382	1531631	1561369	1540483	1552326
39	1000	1508190	1506121	1497606	1505300	1516950	1501538	1495565	1546785	1521073	1531388
39	10000	1477058	1476126	1471442	1472924	1470540	1470102	1472680	1517033	1508409	1515203
39	100000	1457411	1462568	1452225	1456865	1446279	1450857	1445999	1500142	1492569	1500490
39	1000000	1445135	1442361	1444114	1446345	1445373	1441766	1441862	1490720	1486183	1483382
39	10000000	1438152	1436352	1430774	1436041	1430312	1434258	1432322	1481437	1470272	1474418
40	100	1535071	1516987	1546209	1538219	1528154	1525385	1536626	1539598	1542797	1550577
40	1000	1511566	1497714	1492771	1498161	1507014	1505709	1500673	1536698	1533355	1528776
40	10000	1470092	1470238	1467491	1477182	1484437	1462913	1466779	1518090	1503592	1505954
40	100000	1462734	1452286	1451792	1448422	1447612	1450586	1445628	1506310	1491384	1489207
40	1000000	1446763	1440807	1442522	1444655	1442657	1438566	1433904	1486691	1480200	1479029
40	10000000	1433237	1432592	1431044	1433909	1434723	1435813	1427713	1484898	1473914	1468434
41	100	1535356	1537570	1535938	1542496	1549397	1530780	1542061	1563307	1558195	1561234
41	1000	1530356	1503725	1502426	1516862	1511006	1513720	1504132	1537467	1540469	1536978
41	10000	1490048	1485972	1466902	1482274	1485776	1481597	1468600	1524772	1513527	1523151
41	100000	1461028	1458236	1458965	1464367	1458805	1456044	1454601	1503409	1499802	1507072
41	1000000	1447776	1452608	1446887	1451512	1450806	1442388	1447727	1498082	1491669	1477183
41	10000000	1444966	1441142	1440064	1440355	1442378	1434807	1439493	1488583	1480903	1472988
42	100	1533746	1529503	1528635	1529669	1523497	1543722	1516349	1545069	1534599	1535278
42	1000	1499632	1491440	1486395	1496412	1495751	1492110	1482283	1526756	1523186	1522478
42	10000	1467138	1465264	1447921	1467111	1468360	1465075	1447473	1501019	1489872	1491529
42	100000	1450481	1445965	1436146	1452357	1446811	1440211	1425415	1492905	1479338	1478546
42	1000000	1441351	1433147	1429589	1434737	1437139	1432776	1430145	1479847	1476582	1468816
42	10000000	1430850	1428894	1415062	1428530	1426540	1422035	1419670	1465101	1462962	1460321
43	100	1547993	1545877	1556075	1560439	1561432	1555329	1555750	1571331	1579975	1562278
43	1000	1532615	1522568	1516945	1522933	1518110	1514341	1515470	1538653	1547617	1556291
