Instance	Generations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
30	100000	8322	9671	9352	8747	8790	8834	9071	7794	3806	15629
30	1000000	7781	7669	8268	7077	6873	7119	9071	7794	3806	12338
30	10000000	7521	7561	6569	6160	6686	7119	9071	7794	3806	10837
31	100	34925	34709	34506	33455	36435	33376	31699	31987	35090	39446
31	1000	23630	20069	19577	21402	19955	18577	17344	18270	13306	29537
31	10000	14538	11354	10700	13904	11915	13552	11616	10762	4875	18801
31	100000	9321	8791	9444	8060	8074	9720	9849	6620	4288	15343
31	1000000	7628	7911	7741	7159	6438	7303	9849	6620	4288	12896
31	10000000	7103	7022	6653	6492	6287	7062	9849	6620	4288	12402
32	100	31523	37894	34245	31476	32594	32628	36633	37539	33782	36489
32	1000	20658	18952	19462	20677	20143	18089	18358	17503	14049	27770
32	10000	12806	11868	11145	13046	11838	12108	9997	9593	5802	18890
32	100000	10143	8228	8106	8872	8062	7470	9441	7643	3935	14168
32	1000000	8517	8228	7380	7885	7087	6990	9441	7643	3935	12445
32	10000000	6738	7530	6915	6628	6510	6990	9441	7643	3935	10020
33	100	35902	32707	34007	37444	33709	30013	33169	34129	33705	37065
33	1000	22018	16842	17365	20563	20313	19499	17611	15324	14831	28185
33	10000	12197	10888	11098	13731	12769	9277	9885	10598	4927	19398
33	100000	8317	9215	9274	9201	8814	8103	8398	8018	3486	14742
33	1000000	7426	7877	7547	7694	7278	7296	8398	8018	3486	12958
33	10000000	6465	5801	6981	6932	6230	6710	8398	8018	3486	11434
34	100	34411	35742	35565	36686	33241	34699	32076	33931	36759	37435
34	1000	20142	18473	18549	19670	19055	18731	19013	18433	13189	27062
34	10000	12219	10848	10714	12715	12418	10998	9312	9496	5323	19395
34	100000	8284	8670	10445	8380	8237	8795	9174	8176	3939	15438
34	1000000	7841	7672	7764	7803	7232	7139	9174	8176	3939	12617
34	10000000	6568	6768	7203	6270	6679	6867	9174	8176	3939	10239
35	100	34913	33221	34100	33593	31576	34239	31742	34783	32935	36812
35	1000	22389	19027	17725	21263	19815	18528	18544	17019	13729	28140
35	10000	13231	10999	12092	13642	11950	12713	10992	11251	5179	19155
35	100000	9125	9951	9533	9904	10144	8845	8706	9245	4409	16655
35	1000000	7497	7836	8368	8387	8992	8215	8706	9190	4409	13193
35	10000000	6335	7436	7203	7737	6851	7365	8706	9190	4409	10825
36	100	32148	31505	35733	33978	31303	36499	30425	30808	33757	38794
36	1000	21370	19706	20321	18640	18730	18780	17485	17966	12457	27890
36	10000	12147	11999	11116	11974	11901	10953	9257	9628	5469	17406
36	100000	8202	7761	8145	8529	8753	7898	8637	7679	3760	14065
