Instance	Evaluations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
36	1000	26356	25867	23446	24559	26384	24906	24537	21661	20012	36696
36	10000	17020	17193	13867	18243	15438	15127	13014	12434	7920	22156
36	100000	12888	10681	9349	11491	11499	10015	8772	8295	3860	17716
36	1000000	9412	7553	6401	9931	8703	8910	7720	5896	2957	13382
36	10000000	7545	7189	6564	6872	7379	6918	6821	5460	2657	9505
37	100	33031	34690	33366	39160	30420	32657	37521	33520	31857	39513
37	1000	23800	22497	23128	24072	24275	23784	21654	20916	17943	33978
37	10000	15103	15670	14039	15876	14857	14255	13123	10661	7938	25027
37	100000	11466	11569	9126	11131	10627	10295	8768	7656	4136	15769
37	1000000	9717	7790	7607	8878	9048	7898	7224	6577	3116	12430
37	10000000	7369	7150	7057	7656	7080	7036	6924	5554	2939	9247
38	100	37520	34770	35709	35091	31302	35035	34135	36201	33498	39738
38	1000	28485	22333	22967	27828	24584	22998	22354	20017	15614	32797
38	10000	19995	15688	13514	17083	14886	14522	14179	11891	7435	22538
38	100000	12113	11261	9936	11247	11961	10172	10047	8382	3826	21180
38	1000000	8669	8758	7044	9280	8889	8976	7923	5774	2821	14579
38	10000000	7045	6979	7297	7641	7219	6990	6730	5332	2841	10519
39	100	35740	35381	36971	36558	37161	36780	32999	34988	39744	40587
39	1000	24061	24902	25906	25794	24589	24466	22902	21633	17643	34944
39	10000	16545	16694	14585	16083	15415	14418	12689	14431	8946	24777
39	100000	12868	10642	10334	12508	10123	9747	9375	8579	3982	17339
39	1000000	8805	8613	8013	9503	8524	8780	8798	7099	3427	13771
39	10000000	7822	7548	7329	8069	7886	6828	6954	5041	2858	10304
40	100	40736	38700	34445	34617	33936	36221	37088	32912	34827	40760
40	1000	26324	24187	23453	27557	25512	23131	20676	21991	18767	33341
40	10000	16283	13466	14002	16781	14604	14660	14088	13675	7972	25273
40	100000	14162	9765	10367	12012	11239	11625	9554	7873	4558	16205
40	1000000	9874	8822	8165	9016	9288	8537	7908	5965	3688	12418
40	10000000	7453	7506	7106	7895	7439	7085	7295	5950	2977	9476
41	100	40320	34809	34278	38753	34955	31537	32166	37255	34917	40267
41	1000	26700	23782	23018	25567	23526	22613	20560	20365	18680	33449
41	10000	18692	14441	14757	16585	16331	14247	12998	12176	7868	24341
41	100000	11683	9919	9074	12329	10872	10073	9862	7714	3718	16387
41	1000000	9481	8158	7149	8457	9182	8014	7974	5978	3201	13793
41	10000000	7224	7235	7030	7164	7069	6894	6507	5001	2862	10393
42	100	36529	37335	29921	35513	33979	37854	34444	37474	37827	42152
42	1000	29180	25645	24089	25066	26452	25835	21681	21405	18439	33062
42	10000	17898	15022	13287	17969	16180	15439	13210	11232	8523	25020
42	100000	11968	10713	10416	12300	11540	9532	8947	8051	4231	14948
42	1000000	10040	8026	7970	8654	8555	7799	7493	6182	3363	15393
42	10000000	7391	7465	6899	7791	7099	7068	6794	5493	2800	10727
43	100	38924	38302	36333	36696	36155	34989	33068	36766	35661	43666
43	1000	28482	25241	25051	26409	27755	22505	23135	23159	18862	33986
43	10000	18164	15456	14987	15275	16491	15580	14024	12338	8778	22420
43	100000	12384	9959	9609	12731	13368	10866	8585	9674	3863	17452
43	1000000	8837	7556	8675	9620	9372	8664	8025	6444	3277	13952
43	10000000	7810	6992	7212	7191	7493	7279	6619	5328	2759	9961
44	100	39524	39930	34421	36421	37506	37253	34600	34472	34472	38831
44	1000	28054	23376	23824	24252	25242	23914	20735	19725	17985	33012
44	10000	17335	14985	14298	14745	17116	14968	14954	11013	7884	23748
44	100000	11631	10679	9896	10968	10910	10304	9892	7386	4026	17313
44	1000000	9120	8473	7125	9004	8922	7916	6797	6086	3322	11156
44	10000000	7252	7252	7094	7039	7228	7025	6787	5742	2580	11043
45	100	39511	36449	36273	36888	36858	34524	33786	33642	32982	38167
45	1000	25810	24746	23768	24872	25420	25840	22858	25883	18726	33403
45	10000	18892	16425	15124	16857	16189	15519	12692	11373	7974	21642
45	100000	11763	10972	10925	12307	12019	10575	10086	9566	4694	18727
45	1000000	9971	8491	8384	9769	9421	8358	8262	6862	3216	15555
45	10000000	8149	7157	6892	8445	7116	7158	6373	5656	2582	11642
46	100	37104	35904	34153	35783	35573	36600	35546	32565	38652	40275
46	1000	27394	24747	22275	25337	26426	24693	22724	21111	17983	32067
46	10000	17106	15223	12844	17787	16922	15519	13334	13004	7925	21643
46	100000	13117	10503	9887	11004	10474	9702	9573	9038	4017	19200
46	1000000	9555	8632	7866	9267	9003	8082	7751	6351	3588	13977
46	10000000	7269	7547	7310	7634	7606	7003	6766	5531	2944	11121
47	100	39008	36383	35296	38213	31780	37456	33594	32889	36265	42573
47	1000	26740	25054	24370	26538	23592	25092	24807	23054	17957	32631
47	10000	18394	13962	14156	16233	16113	16898	15137	11950	7774	21953
47	100000	12427	10571	10005	11751	11958	10319	8132	8360	4132	19255
47	1000000	10281	8595	7512	8917	9305	8376	7803	6264	3585	13057
47	10000000	7703	7250	6612	8015	7142	6925	6669	5387	2774	11181
48	100	34972	29824	33649	35017	34556	31210	36115	31215	35584	39567
48	1000	25409	23308	21581	25175	25755	23374	21189	17242	16543	32730
48	10000	17296	15464	13157	17096	17302	13786	12722	11809	8735	22815
48	100000	13089	9859	9393	10545	11223	10798	8695	8159	3881	16709
48	1000000	9198	8736	7953	9252	8154	7968	8084	6297	2858	12836
48	10000000	7404	6819	6236	7268	7485	6685	6457	5132	2728	10714
49	100	38264	31815	36743	38000	40113	36663	34464	35116	40579	43345
49	1000	26924	25603	23469	26011	26115	25227	23870	21850	19802	34969
49	10000	18366	15570	15249	17642	15629	14857	13666	11165	7903	26837
49	100000	12724	10554	9924	12295	11098	11424	9904	7978	4290	18859
49	1000000	9928	8632	8646	9647	9217	7638	7662	6313	3150	13317
49	10000000	8161	7607	7470	7781	7413	7303	7020	4720	2936	10329
50	100	35900	37567	36820	34392	32341	35534	33415	34754	36224	42109
50	1000	25116	24415	23645	28193	26207	24576	22908	21480	18731	32939
50	10000	16988	15559	15712	16977	15630	14152	13064	12703	7896	24801
50	100000	11234	10964	8795	12863	10119	9840	9079	7750	3495	16469
50	1000000	8783	8573	8135	8798	9481	8168	7088	5773	3114	14378
50	10000000	7403	6834	6358	7761	7529	6941	6610	4682	2646	9990
