Instance	Evaluations	Cycle(0.75)	Cycle(0.5)	Cycle(0.25)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
28	100000	33	24	26	29	27	24	25	41	37	43
28	1000000	22	19	15	16	21	11	15	37	32	37
28	10000000	12	17	11	14	13	6	8	32	30	32
29	100	55	57	55	59	56	56	56	61	62	62
29	1000	48	46	44	48	45	49	47	52	52	56
29	10000	39	39	35	39	37	34	28	45	45	49
29	100000	30	28	24	28	28	25	23	42	36	37
29	1000000	20	14	17	13	19	22	17	38	32	35
29	10000000	16	12	11	14	11	14	11	34	33	33
30	100	61	58	54	60	58	58	57	65	63	61
30	1000	47	45	46	53	48	51	48	58	58	59
30	10000	40	28	30	35	36	32	32	50	42	50
30	100000	31	24	25	24	32	24	20	42	34	41
30	1000000	13	17	14	18	21	16	20	37	36	35
30	10000000	10	15	12	16	15	11	0	32	28	31
31	100	60	59	55	62	56	59	56	62	63	65
31	1000	49	51	47	47	46	46	46	57	56	60
31	10000	35	34	33	41	36	34	33	45	51	47
31	100000	32	21	21	26	22	26	25	43	39	45
31	1000000	17	18	17	22	19	19	14	36	37	39
31	10000000	15	14	10	10	14	11	14	36	31	33
32	100	58	54	61	61	56	61	56	65	63	65
32	1000	47	47	47	50	49	49	46	58	54	56
32	10000	39	33	32	40	35	36	34	46	44	49
32	100000	29	27	22	28	22	27	24	45	38	40
32	1000000	18	19	16	19	19	14	18	38	34	40
32	10000000	12	15	13	10	14	11	13	35	29	32
33	100	60	56	61	65	58	52	55	63	62	62
33	1000	43	47	45	47	52	47	48	53	52	59
33	10000	36	35	38	36	34	32	32	48	45	43
33	100000	28	22	24	30	24	20	28	43	37	45
33	1000000	18	19	14	22	22	13	15	35	36	39
33	10000000	11	14	10	15	14	13	10	34	29	29
34	100	60	58	58	61	58	59	56	63	63	63
34	1000	49	51	43	51	52	44	46	58	55	55
34	10000	42	33	33	40	32	34	30	49	45	48
34	100000	24	20	26	31	20	22	24	46	39	40
34	1000000	17	19	11	14	12	8	17	36	35	38
34	10000000	17	12	10	14	16	8	12	34	29	34
35	100	59	57	59	63	58	58	59	59	64	64
35	1000	54	45	47	49	51	47	46	54	56	57
35	10000	43	38	33	37	36	37	29	50	43	50
35	100000	26	30	20	21	27	23	20	43	41	41
35	1000000	17	19	13	15	21	16	14	38	37	37
35	10000000	16	15	13	11	15	14	8	30	32	32
36	100	59	63	59	59	57	60	59	63	64	61
36	1000	52	49	47	52	48	49	47	57	56	58
36	10000	39	36	32	39	36	32	31	50	46	46
36	100000	29	24	21	25	25	24	23	42	36	41
36	1000000	13	18	8	22	18	18	18	38	34	36
36	10000000	15	13	13	12	14	16	14	36	31	34
37	100	61	58	58	58	56	55	57	61	64	60
37	1000	53	47	48	46	49	46	48	55	56	57
37	10000	38	36	32	37	38	33	29	47	46	47
37	100000	30	23	28	29	25	26	23	42	42	39
37	1000000	22	18	15	22	22	15	15	38	35	36
37	10000000	12	10	12	13	12	8	11	32	32	27
38	100	63	57	56	60	61	57	56	61	64	61
38	1000	51	52	47	49	48	46	45	61	54	55
38	10000	41	36	35	34	31	35	31	49	52	44
38	100000	30	25	26	27	28	27	20	39	37	37
38	1000000	17	18	17	22	17	20	18	38	35	35
38	10000000	13	17	13	9	11	12	6	35	32	32
39	100	60	57	57	63	58	54	56	64	64	63
39	1000	48	47	45	52	49	46	44	57	57	56
39	10000	40	34	36	40	33	33	34	50	47	48
39	100000	24	23	25	28	26	26	22	43	41	45
39	1000000	24	19	12	23	17	21	19	35	35	38
39	10000000	10	8	9	15	12	12	12	35	32	34
40	100	58	57	60	59	55	55	60	62	61	62
40	1000	46	51	47	52	52	44	50	53	57	55
40	10000	37	38	37	37	39	34	29	49	49	49
40	100000	30	22	24	26	24	26	19	43	35	45
40	1000000	21	18	16	22	19	16	16	36	34	37
40	10000000	14	13	8	13	15	14	11	32	31	34
41	100	59	58	60	58	60	57	56	60	61	63
41	1000	52	48	45	51	52	49	46	52	57	60
41	10000	35	33	29	35	33	33	35	50	50	46
41	100000	27	27	18	26	23	25	26	43	42	44
41	1000000	18	17	17	24	22	16	10	37	36	37
41	10000000	12	13	15	14	8	10	15	34	33	32
42	100	59	56	56	59	57	58	56	57	60	63
42	1000	52	49	46	52	48	46	47	58	54	55
42	10000	37	35	35	40	35	35	31	46	39	51
42	100000	30	26	23	30	26	28	13	44	40	45
42	1000000	17	19	15	18	17	20	18	39	32	37
42	10000000	17	14	13	14	13	8	11	34	31	32
43	100	60	53	55	60	56	57	55	65	59	62
43	1000	50	43	49	48	47	51	45	53	53	59
43	10000	41	35	33	34	35	34	31	48	48	51
43	100000	31	23	22	27	22	24	21	40	41	41
43	1000000	17	23	19	11	16	17	15	37	33	36
43	10000000	14	13	15	17	13	9	14	33	32	33
44	100	62	58	58	59	59	56	58	61	64	64
44	1000	54	48	44	47	50	48	46	55	57	55
44	10000	35	35	32	37	36	34	32	44	46	51
44	100000	31	26	21	24	28	21	19	44	40	42
44	1000000	24	21	16	19	17	16	19	41	34	38
44	10000000	8	17	6	14	14	10	12	34	32	31
45	100	57	54	60	60	61	52	54	65	65	61
45	1000	52	48	43	50	45	49	44	56	57	60
45	10000	40	36	35	37	35	32	34	49	49	50
45	100000	28	24	22	21	27	29	27	39	38	46
45	1000000	21	20	16	18	17	20	17	37	36	37
45	10000000	13	14	0	15	14	12	12	35	29	32
46	100	59	61	57	60	55	58	60	65	60	64
46	1000	47	48	48	51	48	44	44	56	53	59
46	10000	40	33	33	40	38	33	30	50	48	46
46	100000	29	24	19	28	26	21	21	42	36	41
46	1000000	20	17	19	17	22	19	15	38	35	36
46	10000000	10	13	12	16	11	14	14	36	30	34
47	100	61	57	55	60	56	56	59	65	62	62
47	1000	48	48	43	45	46	48	45	54	58	57
47	10000	39	38	30	40	37	34	33	53	42	46
47	100000	28	24	26	28	28	22	29	42	38	43
47	1000000	21	15	16	22	13	20	10	39	34	36
47	10000000	11	6	12	11	11	8	0	34	28	32
48	100	59	56	54	53	57	56	55	61	64	62
48	1000	52	50	49	49	46	48	47	52	58	53
48	10000	39	36	33	42	35	36	32	49	44	49
48	100000	29	24	28	28	27	20	15	44	40	42
48	1000000	19	19	14	16	21	21	15	36	37	36
48	10000000	18	13	12	14	13	4	13	34	33	31
49	100	59	55	58	56	58	56	59	64	63	62
49	1000	52	48	44	50	50	51	46	56	52	56
49	10000	39	29	32	36	36	36	28	44	43	44
49	100000	28	24	22	26	31	27	18	41	36	44
49	1000000	23	20	9	16	20	15	13	36	35	40
49	10000000	16	12	11	12	14	16	13	36	32	32
50	100	59	56	56	61	58	59	56	61	63	63
50	1000	48	50	46	50	48	48	49	58	55	56
50	10000	35	35	37	36	37	37	32	46	47	46
50	100000	29	27	26	28	21	29	20	43	37	44
50	1000000	22	18	20	19	20	21	13	38	33	37
50	10000000	16	12	10	13	16	11	13	34	29	31
