Instance	Generations	Cycle(10)	Cycle(9)	Cycle(8)	Cycle(7)	Cycle(6)	Cycle(5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
55	10000	5990517	5991929	6002604	6001545	6004126	5975034	5975611	5984422	5977783	6144223	6160868	6154535
56	1	6447315	6461340	6459753	6471195	6443569	6469442	6461608	6457741	6459367	6446668	6462548	6462810
56	10	6365038	6369399	6382496	6385773	6375196	6374278	6371983	6370740	6381649	6397593	6397441	6407625
56	100	6233415	6234885	6245084	6228325	6223574	6211204	6186039	6191891	6198331	6329092	6332566	6305102
56	1000	6132546	6154513	6146761	6140014	6155029	6138243	6121178	6117138	6144526	6293087	6308341	6272578
56	10000	6110856	6119548	6113462	6090618	6121963	6108071	6106617	6089993	6108713	6262011	6281287	6248142
57	1	6334381	6332430	6346975	6319085	6342212	6323644	6342896	6343052	6347128	6337840	6348215	6343613
57	10	6236540	6257983	6262273	6249528	6256874	6238371	6244429	6249900	6266256	6283776	6296844	6290512
57	100	6112309	6112295	6116308	6101840	6095345	6093442	6087677	6057711	6077067	6224141	6216528	6188190
57	1000	6035290	6029053	6037854	6026745	6016968	6005773	6015115	6019957	6005067	6169492	6173452	6136190
57	10000	6003144	6004341	6003471	6018348	5998103	5988021	5981297	5973640	5969182	6140684	6154763	6127323
58	1	6302090	6305754	6325559	6313998	6304271	6286449	6313423	6319772	6300597	6305461	6316416	6286850
58	10	6224940	6211359	6229405	6211226	6208505	6203573	6216135	6222582	6225582	6275223	6279726	6230543
58	100	6095205	6095044	6080519	6057337	6081464	6061736	6029334	6047320	6044912	6197593	6167283	6167800
58	1000	6011054	5993073	5976586	5991009	5988636	5969529	5983704	5964128	5990820	6136782	6121240	6110986
58	10000	5965605	5943548	5944483	5966731	5961443	5943411	5949520	5950770	5958098	6102830	6108274	6076056
59	1	6357967	6340133	6360378	6368915	6354129	6361339	6358740	6355187	6366230	6364065	6353631	6352484
59	10	6263237	6248275	6268758	6260595	6264138	6264878	6251850	6281070	6279227	6322244	6293989	6305741
59	100	6133709	6143027	6127772	6141380	6125307	6107218	6113089	6101991	6098019	6241558	6222205	6214923
59	1000	6052818	6061563	6057068	6064220	6038703	6036094	6050676	6022028	6035455	6207219	6180530	6143512
59	10000	6014018	6009123	6015988	6009514	6001125	6022903	6005238	6013380	6035253	6184975	6164205	6126770
60	1	6242497	6261436	6244838	6242434	6266880	6269068	6257129	6245971	6255903	6259651	6248581	6264216
60	10	6159321	6176550	6160795	6156975	6162784	6178017	6164483	6154180	6166388	6192931	6206687	6207494
60	100	6038588	6029278	6024514	6018482	6018778	6012247	5986278	5986762	5978608	6148572	6141763	6105534
60	1000	5941374	5949831	5956768	5938633	5912349	5922352	5913189	5922236	5908794	6109405	6083314	6062862
60	10000	5911341	5885502	5902327	5915032	5885165	5901486	5894082	5904855	5901034	6063399	6045727	6040207
61	1	6368179	6369397	6378608	6361961	6375279	6368398	6356346	6380524	6383312	6379868	6363947	6371167
61	10	6279310	6272955	6276348	6276608	6264335	6274094	6267324	6284216	6277536	6313058	6318600	6330490
61	100	6139482	6150883	6145126	6138289	6140255	6121404	6119855	6100722	6087588	6256566	6246710	6221938
61	1000	6073564	6074133	6063801	6063666	6058164	6040592	6030595	6017975	6040447	6188180	6204437	6184797
61	10000	6026029	6019650	6042224	6014600	6017337	6002536	6012483	6008206	6030517	6174245	6179141	6163252
62	1	6365415	6340968	6357029	6371643	6358754	6360673	6360638	6371634	6364458	6362634	6380092	6352317
