Instance	Evaluations	Cycle(0.5)	Cycle(4)	Cycle(3)	Swap	Insertion	Reversal	Scramble
35	10000	214	217	208	200	245	243	247
35	100000	54	199	196	188	240	227	226
35	1000000	177	181	179	0	218	218	222
35	10000000	0	178	0	0	221	212	209
36	100	266	269	263	264	279	276	275
36	1000	241	235	243	236	273	263	250
36	10000	219	211	210	215	249	250	245
36	100000	206	188	193	192	236	232	230
36	1000000	187	175	188	186	232	224	221
36	10000000	0	181	171	0	217	214	212
37	100	276	273	270	255	284	284	280
37	1000	235	244	238	231	265	259	264
37	10000	216	214	214	206	243	242	246
37	100000	197	190	198	187	237	228	221
37	1000000	186	187	186	181	227	222	220
37	10000000	0	75	0	0	220	214	212
38	100	257	276	269	260	283	279	278
38	1000	246	237	229	234	267	263	267
38	10000	212	212	214	208	245	245	244
38	100000	194	197	188	189	233	228	228
38	1000000	0	189	181	176	225	220	220
38	10000000	0	0	0	0	222	215	210
39	100	268	265	265	259	272	273	271
39	1000	226	248	230	228	268	260	261
39	10000	212	215	205	204	255	243	246
39	100000	196	191	191	187	232	227	222
39	1000000	183	186	185	0	230	223	220
39	10000000	0	0	0	0	217	214	210
40	100	273	260	265	265	276	280	275
40	1000	249	240	237	225	265	269	254
40	10000	210	210	213	214	254	248	240
40	100000	195	199	187	194	239	228	226
40	1000000	0	188	181	184	226	224	224
40	10000000	0	0	0	0	221	216	211
41	100	270	272	267	265	276	282	278
41	1000	244	249	237	230	271	256	270
41	10000	210	211	219	209	251	244	244
41	100000	195	197	187	189	236	216	227
41	1000000	0	186	0	181	231	222	219
41	10000000	0	0	0	0	220	218	211
42	100	268	259	264	266	284	281	281
42	1000	242	232	234	232	259	264	267
42	10000	212	212	212	210	250	243	248
42	100000	200	197	198	188	234	223	229
42	1000000	188	184	175	0	231	218	217
42	10000000	0	0	0	0	224	208	205
43	100	270	269	271	262	283	275	277
43	1000	228	236	246	230	268	261	265
43	10000	208	203	208	204	247	245	241
43	100000	196	191	198	190	238	232	234
43	1000000	189	0	180	186	229	223	218
43	10000000	0	44	0	0	218	216	210
44	100	260	258	262	271	279	278	278
44	1000	251	236	243	234	262	271	267
44	10000	212	217	213	201	239	246	245
44	100000	192	197	197	191	232	233	235
44	1000000	182	185	176	0	228	222	218
44	10000000	180	0	0	0	220	217	208
45	100	267	274	270	272	278	284	279
45	1000	232	239	232	231	262	265	260
45	10000	211	208	214	205	249	238	239
45	100000	196	195	192	195	235	225	227
45	1000000	185	190	0	186	228	219	216
45	10000000	0	0	0	0	219	213	209
46	100	272	274	264	269	286	280	282
46	1000	240	243	239	232	269	262	252
46	10000	213	213	212	197	256	244	246
46	100000	201	196	186	189	241	222	231
46	1000000	183	187	186	184	225	224	212
46	10000000	0	0	0	0	219	216	209
47	100	266	269	263	257	282	279	275
47	1000	244	242	239	232	264	269	264
47	10000	205	217	214	201	253	234	244
47	100000	187	201	193	187	232	231	231
47	1000000	185	183	181	185	228	220	217
47	10000000	0	0	0	0	219	214	204
48	100	270	267	274	266	280	281	271
48	1000	231	253	243	231	260	265	272
48	10000	216	210	212	205	245	243	242
48	100000	195	196	187	190	235	223	233
48	1000000	186	180	190	185	228	224	222
48	10000000	0	0	0	0	218	215	209
49	100	269	268	269	270	278	276	276
49	1000	235	240	234	231	271	258	261
49	10000	214	222	214	202	258	240	237
49	100000	196	201	193	191	238	235	226
49	1000000	180	0	0	183	225	212	221
49	10000000	0	0	0	0	219	215	211
50	100	264	268	279	266	285	282	279
50	1000	242	243	237	231	262	272	261
50	10000	216	212	205	209	245	249	246
50	100000	198	192	197	188	244	241	228
50	1000000	186	121	190	183	231	226	221
50	10000000	0	0	0	0	219	216	211
